Index,Gender,Age,Age Group,Order Month,Status,Platform,Category,Size,Quantity,Amount,City,State,Type of Transaction
4809,Men,44,Middle Age Adult,7,Returned,Myntra,Western dress,M,1,735,Bengaluru,Karnataka,B2C
4810,Men,60,Elderly,7,Delivered,Myntra,Saree,Free,1,1099,Haldwani,Uttarakhand,B2C
4811,Women,22,Youth,7,Delivered,Meesho,Blouse,L,1,518,Neyyattinkara,Kerala,B2C
4812,Men,34,Young Adults,7,Returned,Myntra,Western dress,L,1,625,Pune,Maharashtra,B2C
4813,Women,28,Young Adults,7,Delivered,Ajio,Kurta,M,1,967,Patna,Bihar,B2C
4814,Women,35,Young Adults,7,Delivered,Myntra,Blouse,Free,1,379,Begusarai,Bihar,B2C
4815,Women,24,Youth,7,Delivered,Meesho,Blouse,L,1,280,Gobra nawapara,Chhattisgarh,B2C
4816,Men,47,Senior,7,Returned,Myntra,Western dress,M,1,771,Bengaluru,Karnataka,B2C
4817,Men,62,Elderly,7,Delivered,Myntra,Saree,Free,1,916,Itanagar,Arunachal pradesh,B2C
4818,Women,21,Youth,7,Returned,Flipkart,Set,M,1,654,Bengaluru,Karnataka,B2C
4819,Men,31,Young Adults,7,Returned,Flipkart,Western dress,M,1,725,Kathgodam,Uttarakhand,B2C
4820,Men,40,Middle Age Adult,7,Delivered,Flipkart,Saree,Free,1,435,Tiruchirappalli,Tamil nadu,B2C
4821,Women,45,Middle Age Adult,7,Delivered,Ajio,Kurta,S,1,517,Hyderabad,Telangana,B2C
4822,Women,59,Elderly,7,Delivered,Amazon,Kurta,M,1,435,Sikar,Rajasthan,B2C
4823,Women,25,Youth,7,Returned,Ajio,Set,S,1,664,Howrah,West bengal,B2C
4824,Women,21,Youth,7,Delivered,Amazon,Kurta,XS,1,432,Bengaluru,Karnataka,B2C
4825,Women,24,Youth,7,Delivered,Amazon,Top,M,1,299,Hyderabad,Telangana,B2C
4826,Women,45,Middle Age Adult,7,Delivered,Myntra,Set,S,1,664,Mumbai,Maharashtra,B2C
4827,Women,30,Young Adults,7,Delivered,Meesho,Kurta,XL,1,459,Chennai,Tamil nadu,B2C
4828,Women,42,Middle Age Adult,7,Delivered,Myntra,Kurta,L,1,319,Allahabad,Uttar pradesh,B2C
4829,Women,38,Middle Age Adult,7,Delivered,Myntra,Blouse,M,1,625,Patna,Bihar,B2C
4830,Women,38,Middle Age Adult,7,Delivered,Myntra,Kurta,XXL,1,475,Kolkata,West bengal,B2C
4831,Women,20,Youth,7,Delivered,Ajio,Blouse,M,1,613,Sagar,Madhya pradesh,B2C
4832,Women,46,Middle Age Adult,7,Delivered,Myntra,Set,XXL,1,1438,Port blair,Andaman & nicobar ,B2C
4833,Women,41,Middle Age Adult,7,Delivered,Meesho,Kurta,XL,1,301,Chennai,Tamil nadu,B2C
4834,Men,20,Youth,7,Returned,Myntra,Western dress,M,1,999,New town,West bengal,B2C
4835,Men,29,Young Adults,7,Delivered,Flipkart,Saree,Free,1,549,Jabalpur,Madhya pradesh,B2C
4836,Women,41,Middle Age Adult,7,Delivered,Ajio,Set,S,1,1127,Varanasi,Uttar pradesh,B2C
4837,Men,46,Middle Age Adult,7,Returned,Flipkart,Western dress,S,1,725,Thiruvananthapuram,Kerala,B2C
4838,Women,29,Young Adults,7,Delivered,Amazon,Kurta,S,1,467,Ahmadnagar,Maharashtra,B2C
4839,Women,52,Senior,7,Delivered,Nalli,Set,XL,1,582,Kharagpur,West bengal,B2C
4840,Women,18,Youth,7,Delivered,Flipkart,Set,XL,1,1115,Burla,Odisha,B2C
4841,Men,21,Youth,7,Delivered,Amazon,Saree,Free,1,737,Sagar,Madhya pradesh,B2C
4842,Men,25,Youth,7,Returned,Flipkart,Western dress,XL,1,735,Bengaluru,Karnataka,B2C
4843,Men,49,Senior,7,Delivered,Myntra,Saree,Free,1,922,Patna,Bihar,B2C
4844,Men,36,Young Adults,7,Returned,Myntra,Western dress,L,1,771,Basirhat,West bengal,B2C
4845,Women,27,Young Adults,7,Delivered,Meesho,Top,XS,1,487,Margao,Goa,B2C
4846,Women,32,Young Adults,7,Delivered,Meesho,Kurta,S,1,292,Nuzvid,Andhra pradesh,B2C
4847,Women,47,Senior,7,Delivered,Amazon,Set,XL,1,729,New delhi,Delhi,B2C
4848,Women,37,Middle Age Adult,7,Delivered,Amazon,Kurta,S,1,435,Kapadvanj,Gujarat,B2C
4849,Women,72,Elderly,7,Delivered,Myntra,Kurta,XL,1,399,Noida,Uttar pradesh,B2C
4850,Men,27,Young Adults,7,Returned,Ajio,Western dress,S,1,725,Thrissur,Kerala,B2C
4851,Men,58,Elderly,7,Returned,Myntra,Kurta,M,1,432,Coimbatore,Tamil nadu,B2C
4852,Men,24,Youth,7,Delivered,Flipkart,Top,S,1,522,Lucknow,Uttar pradesh,B2C
4853,Women,52,Senior,7,Delivered,Flipkart,Ethnic dress,M,1,837,Hyderabad,Telangana,B2C
4854,Men,39,Middle Age Adult,7,Delivered,Myntra,Western dress,XXL,1,859,Bengaluru,Karnataka,B2C
4855,Women,55,Senior,7,Delivered,Amazon,Set,XL,1,1438,Faridabad,Haryana,B2C
4856,Women,32,Young Adults,7,Returned,Amazon,Set,S,1,698,Bengaluru,Karnataka,B2C
4857,Women,58,Elderly,7,Delivered,Myntra,Set,XXL,1,1442,Mohali,Punjab,B2C
4858,Women,46,Middle Age Adult,7,Delivered,Nalli,Set,M,1,1349,Navi mumbai,Maharashtra,B2C
4859,Men,30,Young Adults,7,Returned,Amazon,Kurta,XL,1,754,Bengaluru,Karnataka,B2C
4860,Men,48,Senior,7,Returned,Amazon,Saree,Free,1,405,Talcher,Odisha,B2C
4861,Women,31,Young Adults,7,Delivered,Ajio,Set,XL,1,1140,Thane,Maharashtra,B2C
4862,Women,23,Youth,7,Delivered,Amazon,Set,L,1,1309,Noida,Uttar pradesh,B2C
4863,Women,36,Young Adults,7,Delivered,Nalli,Set,XS,1,763,Tiruppur,Tamil nadu,B2C
4864,Women,32,Young Adults,7,Delivered,Flipkart,Kurta,S,1,329,Udupi,Karnataka,B2C
4865,Women,19,Youth,7,Delivered,Flipkart,Set,M,1,1186,Mumbai,Maharashtra,B2C
4866,Women,69,Elderly,7,Delivered,Myntra,Set,XL,1,958,New delhi,Delhi,B2C
4867,Men,35,Young Adults,7,Delivered,Others,Western dress,3XL,1,859,Bathinda,Punjab,B2C
4868,Men,65,Elderly,7,Delivered,Flipkart,Saree,Free,1,478,Dimapur,Nagaland,B2C
4869,Men,30,Young Adults,7,Delivered,Myntra,Saree,Free,1,1158,Hyderabad,Telangana,B2C
4870,Women,22,Youth,7,Delivered,Amazon,Set,XS,1,1299,Hyderabad,Telangana,B2C
4871,Women,43,Middle Age Adult,7,Delivered,Amazon,Kurta,L,1,399,Kolkata,West bengal,B2C
4872,Women,46,Middle Age Adult,7,Delivered,Ajio,Set,M,1,680,Bhusawal,Maharashtra,B2C
4873,Men,24,Youth,7,Delivered,Amazon,Saree,Free,1,664,New delhi,Delhi,B2C
4874,Women,34,Young Adults,7,Delivered,Amazon,Ethnic dress,XL,1,438,Nagpur,Maharashtra,B2C
4875,Men,77,Elderly,7,Delivered,Amazon,Saree,Free,1,788,Hyderabad,Telangana,B2C
4876,Women,37,Middle Age Adult,7,Delivered,Flipkart,Kurta,XS,1,426,Meerut,Uttar pradesh,B2C
4877,Men,20,Youth,7,Delivered,Amazon,Saree,Free,1,533,Hyderabad,Telangana,B2C
4878,Women,72,Elderly,7,Delivered,Amazon,Kurta,XL,1,349,Pune,Maharashtra,B2C
4879,Men,37,Middle Age Adult,7,Delivered,Flipkart,Saree,Free,1,329,Medinipur,West bengal,B2C
4880,Women,33,Young Adults,7,Delivered,Myntra,Blouse,Free,1,429,Hyderabad,Telangana,B2C
4881,Women,22,Youth,7,Delivered,Amazon,Set,L,1,563,Quepem,Goa,B2C
4882,Women,36,Young Adults,7,Delivered,Amazon,Top,M,1,499,Noida,Uttar pradesh,B2C
4883,Women,47,Senior,7,Delivered,Myntra,Set,M,1,729,Visakhapatnam,Andhra pradesh,B2C
4884,Men,32,Young Adults,7,Delivered,Amazon,Saree,Free,1,777,Jabalpur,Madhya pradesh,B2C
4885,Women,59,Elderly,7,Delivered,Flipkart,Kurta,XL,1,501,Bengaluru,Karnataka,B2C
4886,Men,21,Youth,7,Delivered,Ajio,Western dress,XL,1,1168,Secunderabad,Telangana,B2C
4887,Women,42,Middle Age Adult,7,Delivered,Amazon,Set,3XL,1,635,Bangalore,Karnataka,B2C
4888,Women,19,Youth,7,Delivered,Amazon,Set,L,1,1138,Lucknow,Uttar pradesh,B2C
4889,Women,33,Young Adults,7,Delivered,Meesho,Top,3XL,1,925,Chennai,Tamil nadu,B2C
4890,Women,47,Senior,7,Delivered,Amazon,Kurta,M,1,368,Pune,Maharashtra,B2C
4891,Women,27,Young Adults,7,Delivered,Flipkart,Kurta,XL,1,627,Pune,Maharashtra,B2C
4892,Men,33,Young Adults,7,Delivered,Amazon,Saree,Free,1,799,Tinsukia,Assam,B2C
4893,Women,32,Young Adults,7,Cancelled,Amazon,Kurta,S,1,435,Raniganj,West bengal,B2C
4894,Women,32,Young Adults,7,Delivered,Amazon,Top,M,1,574,Mumbai,Maharashtra,B2C
4895,Women,18,Youth,7,Delivered,Flipkart,Set,XS,1,824,Chennai,Tamil nadu,B2C
4896,Women,24,Youth,7,Delivered,Amazon,Set,M,1,635,Kanpur,Uttar pradesh,B2C
4897,Women,35,Young Adults,7,Delivered,Meesho,Top,XXL,1,399,Gwalior,Madhya pradesh,B2C
4898,Women,19,Youth,7,Delivered,Amazon,Kurta,L,1,362,Guwahati,Assam,B2C
4899,Women,74,Elderly,7,Delivered,Amazon,Set,L,1,597,Mudbidri,Karnataka,B2C
4900,Women,27,Young Adults,7,Delivered,Ajio,Kurta,M,1,499,Durgapur,West bengal,B2C
4901,Men,43,Middle Age Adult,7,Delivered,Myntra,Western dress,XL,1,614,Guwahati,Assam,B2C
4902,Women,34,Young Adults,7,Delivered,Meesho,Top,XXL,1,534,Imphal,Manipur,B2C
4903,Women,38,Middle Age Adult,7,Delivered,Nalli,Kurta,XXL,1,441,Vadodara,Gujarat,B2C
4904,Women,23,Youth,7,Delivered,Amazon,Set,XXL,1,1126,Karimnagar,Telangana,B2C
4905,Women,33,Young Adults,7,Delivered,Amazon,Kurta,S,1,299,Mandi,Himachal pradesh,B2C
4906,Men,41,Middle Age Adult,7,Delivered,Myntra,Set,XL,1,872,Greater noida west,Uttar pradesh,B2C
4907,Men,34,Young Adults,7,Refunded,Meesho,Western dress,XS,1,443,New delhi,Delhi,B2C
4908,Women,42,Middle Age Adult,7,Delivered,Ajio,Kurta,M,1,293,Bangalore,Karnataka,B2C
4909,Men,25,Youth,7,Returned,Amazon,Set,L,1,1115,Noida,Uttar pradesh,B2C
4910,Men,60,Elderly,7,Delivered,Ajio,Set,M,1,824,Bengaluru,Karnataka,B2C
4911,Women,35,Young Adults,7,Delivered,Flipkart,Top,XL,1,493,Coimbatore,Tamil nadu,B2C
4912,Men,32,Young Adults,7,Delivered,Amazon,Saree,Free,1,435,Nasik,Maharashtra,B2C
4913,Women,77,Elderly,7,Delivered,Amazon,Kurta,M,1,568,Bengaluru,Karnataka,B2C
4914,Women,43,Middle Age Adult,7,Delivered,Amazon,Set,S,1,788,Vellore,Tamil nadu,B2C
4915,Women,24,Youth,7,Delivered,Amazon,Set,L,1,799,Bilha,Chhattisgarh,B2C
4916,Men,26,Young Adults,7,Delivered,Myntra,Set,M,1,1112,Agartala,Tripura,B2C
4917,Women,27,Young Adults,7,Delivered,Others,Set,XL,1,671,Jodhpur,Rajasthan,B2C
4918,Men,32,Young Adults,7,Delivered,Meesho,Set,L,1,788,Varanasi,Uttar pradesh,B2C
4919,Men,34,Young Adults,7,Delivered,Flipkart,Saree,Free,1,432,Bengaluru,Karnataka,B2C
4920,Men,31,Young Adults,7,Delivered,Others,Saree,Free,1,1398,Mhow,Madhya pradesh,B2C
4921,Men,45,Middle Age Adult,7,Returned,Amazon,Western dress,M,1,735,Nizamabad,Telangana,B2C
4922,Men,37,Middle Age Adult,7,Delivered,Amazon,Set,XS,1,537,Lucknow,Uttar pradesh,B2C
4923,Women,59,Elderly,7,Delivered,Others,Set,XS,1,759,Nagpur,Maharashtra,B2C
4924,Women,21,Youth,7,Delivered,Myntra,Kurta,3XL,1,549,Dwarka,Delhi,B2C
4925,Women,49,Senior,6,Delivered,Nalli,Kurta,3XL,1,362,Ernakulam,Kerala,B2C
4926,Women,30,Young Adults,6,Delivered,Amazon,Set,XS,1,648,Mandi,Himachal pradesh,B2C
4927,Women,48,Senior,6,Delivered,Others,Kurta,3XL,1,399,Gorakhpur,Uttar pradesh,B2C
4928,Women,46,Middle Age Adult,6,Delivered,Myntra,Blouse,M,1,759,Araria,Bihar,B2C
4929,Women,42,Middle Age Adult,6,Delivered,Myntra,Ethnic dress,XL,1,438,Gorakhpur,Uttar pradesh,B2C
4930,Women,57,Elderly,6,Delivered,Myntra,Kurta,XS,1,499,Thiruvananthapuram,Kerala,B2C
4931,Men,20,Youth,6,Delivered,Amazon,Set,XL,1,558,Hyderabad,Telangana,B2C
4932,Women,29,Young Adults,6,Cancelled,Myntra,Kurta,M,1,435,Rajahmundry,Andhra pradesh,B2C
4933,Women,35,Young Adults,6,Delivered,Amazon,Set,XL,1,569,Lucknow,Uttar pradesh,B2C
4934,Women,64,Elderly,6,Delivered,Myntra,Set,L,1,1186,Bengaluru,Karnataka,B2C
4935,Women,46,Middle Age Adult,6,Delivered,Myntra,Kurta,XL,1,382,Mattannur,Kerala,B2C
4936,Women,57,Elderly,6,Delivered,Flipkart,Set,S,1,788,Sonipat,Haryana,B2C
4937,Women,27,Young Adults,6,Delivered,Amazon,Kurta,L,1,363,Hyderabad,Telangana,B2C
4938,Women,33,Young Adults,6,Delivered,Amazon,Kurta,M,1,301,Bengaluru,Karnataka,B2C
4939,Men,18,Youth,6,Delivered,Flipkart,Western dress,XXL,1,968,Jaipur,Rajasthan,B2C
4940,Women,76,Elderly,6,Delivered,Flipkart,Kurta,XXL,1,517,Thane,Maharashtra,B2C
4941,Women,27,Young Adults,6,Delivered,Nalli,Set,L,1,597,Bilha,Chhattisgarh,B2C
4942,Women,49,Senior,6,Delivered,Flipkart,Set,M,1,833,Malda,West bengal,B2C
4943,Women,66,Elderly,6,Delivered,Flipkart,Set,XL,1,1099,Fatehabad,Haryana,B2C
4944,Women,39,Middle Age Adult,6,Delivered,Nalli,Kurta,L,1,547,Saroornagar rr district,Telangana,B2C
4945,Women,21,Youth,6,Delivered,Amazon,Set,XL,1,668,Nurpur,Himachal pradesh,B2C
4946,Men,75,Elderly,6,Delivered,Myntra,Saree,Free,1,1068,Bhagalpur,Bihar,B2C
4947,Women,44,Middle Age Adult,6,Delivered,Others,Kurta,S,1,399,Supaul,Bihar,B2C
4948,Women,30,Young Adults,6,Delivered,Amazon,Set,S,1,1133,Panaji,Goa,B2C
4949,Women,32,Young Adults,6,Delivered,Flipkart,Kurta,XXL,1,376,Gudur,Andhra pradesh,B2C
4950,Women,30,Young Adults,6,Delivered,Ajio,Set,XXL,1,599,Gurugram,Haryana,B2C
4951,Women,49,Senior,6,Delivered,Flipkart,Kurta,S,1,299,Puttur,Karnataka,B2C
4952,Women,67,Elderly,6,Delivered,Flipkart,Set,3XL,1,586,New delhi,Delhi,B2C
4953,Women,53,Senior,6,Cancelled,Flipkart,Kurta,3XL,1,387,Jaipur,Rajasthan,B2C
4954,Men,48,Senior,6,Delivered,Flipkart,Saree,Free,1,458,Chandvad,Maharashtra,B2C
4955,Men,27,Young Adults,6,Delivered,Flipkart,Set,M,1,788,Bareilly,Uttar pradesh,B2C
4956,Women,43,Middle Age Adult,6,Returned,Flipkart,Kurta,XL,1,376,Bhubaneswar,Odisha,B2C
4957,Women,27,Young Adults,6,Delivered,Myntra,Kurta,S,1,526,Kolkata,West bengal,B2C
4958,Women,67,Elderly,6,Delivered,Amazon,Set,M,1,799,Jsw steel plant township,Karnataka,B2C
4959,Women,41,Middle Age Adult,6,Delivered,Myntra,Set,XXL,1,641,Gaya,Bihar,B2C
4960,Women,20,Youth,6,Delivered,Meesho,Kurta,M,1,301,New delhi,Delhi,B2C
4961,Women,41,Middle Age Adult,6,Delivered,Amazon,Set,XXL,1,696,Mumbai,Maharashtra,B2C
4962,Men,53,Senior,6,Returned,Amazon,Set,3XL,1,899,Hyderabad,Telangana,B2C
4963,Women,24,Youth,6,Delivered,Flipkart,Kurta,M,1,888,Hyderabad,Telangana,B2C
4964,Women,46,Middle Age Adult,6,Delivered,Meesho,Set,S,1,612,Cuttack,Odisha,B2C
4965,Women,35,Young Adults,6,Delivered,Flipkart,Set,M,1,582,Faridabad,Haryana,B2C
4966,Women,23,Youth,6,Delivered,Amazon,Set,L,1,517,New delhi,Delhi,B2C
4967,Women,51,Senior,6,Delivered,Amazon,Kurta,M,1,517,Mangaluru,Karnataka,B2C
4968,Men,32,Young Adults,6,Delivered,Amazon,Saree,Free,1,736,Chennai,Tamil nadu,B2C
4969,Women,32,Young Adults,6,Delivered,Myntra,Set,L,1,969,Cuttack,Odisha,B2C
4970,Women,58,Elderly,6,Delivered,Nalli,Kurta,XL,1,442,Madurai,Tamil nadu,B2C
4971,Men,30,Young Adults,6,Delivered,Ajio,Set,XL,1,1072,Thiruvananthapuram,Kerala,B2C
4972,Men,20,Youth,6,Returned,Amazon,Set,S,1,1149,Khatima,Uttarakhand,B2C
4973,Men,42,Middle Age Adult,6,Delivered,Amazon,Set,3XL,1,579,Jamshedpur,Jharkhand,B2C
4974,Women,32,Young Adults,6,Delivered,Flipkart,Set,L,1,939,Machilipatnam,Andhra pradesh,B2C
4975,Women,42,Middle Age Adult,6,Delivered,Myntra,Set,M,1,788,Chiramanangad,Kerala,B2C
4976,Women,73,Elderly,6,Delivered,Myntra,Kurta,XL,1,487,Hyderabad,Telangana,B2C
4977,Men,49,Senior,6,Delivered,Flipkart,Set,L,1,824,Udaipur,Rajasthan,B2C
4978,Women,50,Senior,6,Delivered,Flipkart,Kurta,XXL,1,311,Pattambi,Kerala,B2C
4979,Women,42,Middle Age Adult,6,Delivered,Myntra,Set,XL,1,1186,Hyderabad,Telangana,B2C
4980,Women,55,Senior,6,Delivered,Meesho,Set,L,1,1432,Thiruvananthapuram,Kerala,B2C
4981,Women,29,Young Adults,6,Delivered,Myntra,Kurta,XXL,1,426,Pimpri chinchwad,Maharashtra,B2C
4982,Women,76,Elderly,6,Delivered,Myntra,Kurta,3XL,1,487,Pathanamthitta,Kerala,B2C
4983,Women,43,Middle Age Adult,6,Delivered,Flipkart,Set,XXL,1,774,Faizabad,Uttar pradesh,B2C
4984,Women,26,Young Adults,6,Delivered,Amazon,Kurta,M,1,435,Pattukkottai,Tamil nadu,B2C
4985,Women,32,Young Adults,6,Delivered,Myntra,Blouse,L,1,665,Chennai,Tamil nadu,B2C
4986,Women,45,Middle Age Adult,6,Cancelled,Amazon,Kurta,S,1,295,Thiruvananthapuram,Kerala,B2C
4987,Women,24,Youth,6,Returned,Myntra,Kurta,S,1,517,Kolkata,West bengal,B2C
4988,Women,39,Middle Age Adult,6,Delivered,Myntra,Kurta,M,1,484,Jaipur,Rajasthan,B2C
4989,Women,29,Young Adults,6,Delivered,Amazon,Set,L,1,888,Noida,Uttar pradesh,B2C
4990,Women,72,Elderly,6,Delivered,Nalli,Top,M,1,513,Patna,Bihar,B2C
4991,Women,36,Young Adults,6,Delivered,Amazon,Kurta,L,1,496,Bhubaneswar,Odisha,B2C
4992,Women,37,Middle Age Adult,6,Delivered,Flipkart,Kurta,3XL,1,399,Gurugram,Haryana,B2C
4993,Women,37,Middle Age Adult,6,Cancelled,Flipkart,Kurta,XXL,1,301,Kanpur,Uttar pradesh,B2C
4994,Women,19,Youth,6,Delivered,Amazon,Kurta,XS,1,399,Visakhapatnam,Andhra pradesh,B2C
4995,Women,37,Middle Age Adult,6,Delivered,Myntra,Kurta,L,1,517,Eral,Tamil nadu,B2C
4996,Women,19,Youth,6,Delivered,Flipkart,Set,XXL,1,551,Hyderabad,Telangana,B2C
4997,Women,21,Youth,6,Delivered,Flipkart,Kurta,3XL,1,342,Bengaluru,Karnataka,B2C
4998,Men,40,Middle Age Adult,6,Delivered,Amazon,Set,3XL,1,1085,Hyderabad,Telangana,B2C
4999,Women,60,Elderly,6,Delivered,Ajio,Set,XXL,1,499,Guwahati,Assam,B2C
5000,Men,18,Youth,6,Delivered,Meesho,Set,M,1,837,Ranchi,Jharkhand,B2C
5001,Women,41,Middle Age Adult,6,Delivered,Amazon,Top,M,1,464,Noida,Uttar pradesh,B2C
5002,Women,39,Middle Age Adult,6,Delivered,Myntra,Kurta,L,1,495,Jaipur,Rajasthan,B2C
5003,Women,36,Young Adults,6,Delivered,Amazon,Kurta,XL,1,349,Gurugram,Haryana,B2C
5004,Women,26,Young Adults,6,Returned,Amazon,Kurta,XL,1,725,Pimpri chinchwad,Maharashtra,B2C
5005,Men,33,Young Adults,6,Delivered,Myntra,Set,M,1,1301,Lucknow,Uttar pradesh,B2C
5006,Women,37,Middle Age Adult,6,Delivered,Nalli,Set,XXL,1,699,Bengaluru,Karnataka,B2C
5007,Women,26,Young Adults,6,Delivered,Myntra,Set,M,1,646,Paravur,Kerala,B2C
5008,Men,57,Elderly,6,Delivered,Amazon,Set,M,1,1099,Bally,West bengal,B2C
5009,Women,77,Elderly,6,Delivered,Flipkart,Kurta,M,1,635,Kanpur,Uttar pradesh,B2C
5010,Women,58,Elderly,6,Delivered,Flipkart,Set,L,1,792,Hsiidc sohna,Haryana,B2C
5011,Women,78,Elderly,6,Delivered,Myntra,Kurta,3XL,1,291,New delhi,Delhi,B2C
5012,Women,31,Young Adults,6,Delivered,Amazon,Set,M,1,626,Thrippunithura,Kerala,B2C
5013,Men,23,Youth,6,Returned,Flipkart,Set,XS,1,999,Thoubal,Manipur,B2C
5014,Women,38,Middle Age Adult,6,Delivered,Amazon,Kurta,M,1,458,Dehradun,Uttarakhand,B2C
5015,Women,33,Young Adults,6,Delivered,Others,Set,S,1,1075,Chittoor,Andhra pradesh,B2C
5016,Women,49,Senior,6,Delivered,Flipkart,Kurta,M,1,301,New delhi,Delhi,B2C
5017,Women,76,Elderly,6,Delivered,Nalli,Kurta,XS,1,435,Kovilpatti,Tamil nadu,B2C
5018,Women,30,Young Adults,6,Delivered,Flipkart,Kurta,XXL,1,626,Mughalsarai,Uttar pradesh,B2C
5019,Women,47,Senior,6,Delivered,Myntra,Top,L,1,493,"Bandra east, mumbai",Maharashtra,B2C
5020,Women,35,Young Adults,6,Delivered,Myntra,Kurta,M,1,379,Pune,Maharashtra,B2C
5021,Men,29,Young Adults,6,Delivered,Myntra,Set,L,1,1127,Guntur,Andhra pradesh,B2C
5022,Women,22,Youth,6,Delivered,Amazon,Top,L,1,360,Bhopal,Madhya pradesh,B2C
5023,Women,36,Young Adults,6,Delivered,Others,Kurta,L,1,345,Nagamalaipudukottai,Tamil nadu,B2C
5024,Women,35,Young Adults,6,Delivered,Amazon,Top,L,1,339,Mumbai,Maharashtra,B2C
5025,Women,31,Young Adults,6,Delivered,Flipkart,Set,XXL,1,698,New delhi,Delhi,B2C
5026,Men,37,Middle Age Adult,6,Delivered,Meesho,Western dress,XXL,1,496,Tirupati,Andhra pradesh,B2C
5027,Women,38,Middle Age Adult,6,Delivered,Myntra,Kurta,M,1,635,Dhanbad,Jharkhand,B2C
5028,Men,53,Senior,6,Delivered,Flipkart,Western dress,M,1,1033,Mumbai,Maharashtra,B2C
5029,Men,23,Youth,6,Delivered,Amazon,Set,M,1,565,Gurugram,Haryana,B2C
5030,Women,57,Elderly,6,Delivered,Flipkart,Kurta,M,1,379,Jorhat,Assam,B2C
5031,Men,75,Elderly,6,Delivered,Amazon,Western dress,S,1,744,Pune,Maharashtra,B2C
5032,Women,46,Middle Age Adult,6,Delivered,Amazon,Set,M,1,799,Bengaluru,Karnataka,B2C
5033,Men,39,Middle Age Adult,6,Delivered,Ajio,Set,M,1,1093,Pimpri chinchwad,Maharashtra,B2C
5034,Men,42,Middle Age Adult,6,Delivered,Amazon,Western dress,XL,1,807,Bengaluru,Karnataka,B2C
5035,Women,31,Young Adults,6,Delivered,Myntra,Kurta,XS,1,575,Kadapa,Andhra pradesh,B2C
5036,Men,32,Young Adults,6,Delivered,Amazon,Set,L,1,449,Ahmedabad,Gujarat,B2C
5037,Women,20,Youth,6,Delivered,Amazon,Set,S,1,696,Nagpur,Maharashtra,B2C
5038,Women,27,Young Adults,6,Delivered,Amazon,Set,XL,1,1481,Patna,Bihar,B2C
5039,Women,45,Middle Age Adult,6,Delivered,Meesho,Kurta,XS,1,487,Bengaluru,Karnataka,B2C
5040,Women,31,Young Adults,6,Delivered,Amazon,Kurta,3XL,1,380,Mumbai,Maharashtra,B2C
5041,Men,32,Young Adults,6,Delivered,Amazon,Western dress,M,1,715,Gonda,Uttar pradesh,B2C
5042,Men,35,Young Adults,6,Delivered,Flipkart,Kurta,XL,1,530,New delhi,Delhi,B2C
5043,Women,32,Young Adults,6,Delivered,Myntra,Set,XS,1,841,Oddanchatram,Tamil nadu,B2C
5044,Men,36,Young Adults,6,Delivered,Flipkart,Western dress,M,1,614,Mumbai,Maharashtra,B2C
5045,Men,54,Senior,6,Delivered,Meesho,Kurta,M,1,459,Talegaon dabhade,Maharashtra,B2C
5046,Women,30,Young Adults,6,Delivered,Amazon,Set,S,1,736,Dharwad,Karnataka,B2C
5047,Men,42,Middle Age Adult,6,Delivered,Myntra,Kurta,3XL,1,292,Tirupati,Andhra pradesh,B2C
5048,Men,33,Young Adults,6,Delivered,Meesho,Set,3XL,1,949,Lucknow,Uttar pradesh,B2C
5049,Women,40,Middle Age Adult,6,Delivered,Amazon,Set,M,1,1281,Agra,Uttar pradesh,B2C
5050,Men,58,Elderly,6,Delivered,Flipkart,Western dress,XXL,1,614,Meerut,Uttar pradesh,B2C
5051,Men,27,Young Adults,6,Delivered,Flipkart,Kurta,M,1,399,Vikasnagar,Uttarakhand,B2C
5052,Men,29,Young Adults,6,Delivered,Amazon,Set,XL,1,799,Madurai,Tamil nadu,B2C
5053,Men,35,Young Adults,6,Delivered,Myntra,Western dress,XL,1,560,Gurugram,Haryana,B2C
5054,Men,46,Middle Age Adult,6,Delivered,Flipkart,Western dress,S,1,828,Mumbai,Maharashtra,B2C
5055,Men,42,Middle Age Adult,6,Delivered,Amazon,Set,S,1,665,Bengaluru,Karnataka,B2C
5056,Men,72,Elderly,6,Delivered,Flipkart,Kurta,L,1,399,Coimbatore,Tamil nadu,B2C
5057,Men,42,Middle Age Adult,6,Delivered,Amazon,Western dress,M,1,735,Tiruppur,Tamil nadu,B2C
5058,Men,29,Young Adults,6,Delivered,Flipkart,Kurta,3XL,1,379,Kalyan,Maharashtra,B2C
5059,Women,35,Young Adults,6,Returned,Myntra,Kurta,XS,1,422,Navi mumbai,Maharashtra,B2C
5060,Men,37,Middle Age Adult,6,Delivered,Amazon,Set,3XL,1,543,Mumbai,Maharashtra,B2C
5061,Men,38,Middle Age Adult,6,Cancelled,Myntra,Set,XXL,1,698,Guntur,Andhra pradesh,B2C
5062,Men,69,Elderly,6,Cancelled,Flipkart,Western dress,3XL,1,771,Tura,Meghalaya,B2C
5063,Women,43,Middle Age Adult,6,Delivered,Amazon,Kurta,M,1,435,Hyderabad,Telangana,B2C
5064,Men,53,Senior,6,Delivered,Flipkart,Set,L,1,569,Kothamangalam,Kerala,B2C
5065,Women,41,Middle Age Adult,6,Delivered,Amazon,Kurta,M,1,435,Bhubaneswar,Odisha,B2C
5066,Men,18,Youth,6,Delivered,Flipkart,Set,XL,1,582,Jaipur,Rajasthan,B2C
